epi_week,adm2,lineage,count
69,CUMBRIA,B.1.617.2,1
69,DERBYSHIRE,B.1.617.2,1
69,EAST_LOTHIAN,B.1.617.2,5
69,EAST_RENFREWSHIRE,B.1.617.2,1
69,EAST_RIDING_OF_YORKSHIRE,B.1.617.2,3
69,EAST_SUSSEX,B.1.617.2,1
69,EDINBURGH,B.1.617.2,4
69,ESSEX,B.1.617.2,4
69,GLASGOW,B.1.617.2,6
69,GLOUCESTERSHIRE,B.1.617.2,1
69,GREATER_LONDON,B.1.617.2,115
69,GWYNEDD,B.1.617.2,1
69,HAMPSHIRE,B.1.617.2,3
69,HERTFORDSHIRE,B.1.617.2,13
69,INVERCLYDE,B.1.617.2,1
69,ISLE_OF_WIGHT,B.1.617.2,1
69,KENT,B.1.617.2,6
69,KIRKLEES,B.1.617.2,1
69,LANCASHIRE,B.1.617.2,11
69,LEEDS,B.1.617.2,1
69,LEICESTERSHIRE,B.1.617.2,20
69,LINCOLNSHIRE,B.1.617.2,2
69,MIDDLESBROUGH,B.1.617.2,1
69,MILTON_KEYNES,B.1.617.2,1
69,NORFOLK,B.1.617.2,1
69,NORTHAMPTONSHIRE,B.1.617.2,3
69,NORTH_TYNESIDE,B.1.617.2,1
69,NORTH_YORKSHIRE,B.1.617.2,1
69,NOTTINGHAM,B.1.617.2,10
69,NOTTINGHAMSHIRE,B.1.617.2,9
69,OXFORDSHIRE,B.1.617.2,1
69,PEMBROKESHIRE,B.1.617.2,1
69,SANDWELL,B.1.617.2,2
69,SHEFFIELD,B.1.617.2,1
69,SOUTH_TYNESIDE,B.1.617.2,1
69,STAFFORDSHIRE,B.1.617.2,4
69,SURREY,B.1.617.2,4
69,SWINDON,B.1.617.2,1
69,WEST_MIDLANDS,B.1.617.2,1
69,WILTSHIRE,B.1.617.2,2
69,WOKINGHAM,B.1.617.2,1
70,ABERDEEN,B.1.1.7,20
70,BEDFORDSHIRE,B.1.1.7,15
70,BELFAST,B.1.1.7,1
70,BIRMINGHAM,B.1.1.7,53
70,BOLTON,B.1.1.7,20
70,BRIDGEND,B.1.1.7,1
70,BRIGHTON_AND_HOVE,B.1.1.7,0
70,BUCKINGHAMSHIRE,B.1.1.7,29
70,CAMBRIDGESHIRE,B.1.1.7,68
70,CARDIFF,B.1.1.7,25
70,CONWY,B.1.1.7,6
70,COVENTRY,B.1.1.7,7
70,DERBYSHIRE,B.1.1.7,85
70,DEVON,B.1.1.7,1
70,DORSET,B.1.1.7,8
70,DUDLEY,B.1.1.7,9
70,DURHAM,B.1.1.7,107
70,EAST_DUNBARTONSHIRE,B.1.1.7,22
70,EAST_LOTHIAN,B.1.1.7,1
70,EAST_RENFREWSHIRE,B.1.1.7,15
70,EAST_RIDING_OF_YORKSHIRE,B.1.1.7,102
70,EDINBURGH,B.1.1.7,84
70,ESSEX,B.1.1.7,35
70,FIFE,B.1.1.7,69
70,GLASGOW,B.1.1.7,132
70,GREATER_LONDON,B.1.1.7,268
70,HAMPSHIRE,B.1.1.7,12
70,HERTFORDSHIRE,B.1.1.7,50
70,INVERCLYDE,B.1.1.7,1
70,ISLE_OF_WIGHT,B.1.1.7,2
70,KENT,B.1.1.7,40
70,KIRKLEES,B.1.1.7,51
70,LANCASHIRE,B.1.1.7,219
70,LEEDS,B.1.1.7,137
70,LEICESTERSHIRE,B.1.1.7,124
70,LINCOLNSHIRE,B.1.1.7,118
70,MANCHESTER,B.1.1.7,34
70,MILTON_KEYNES,B.1.1.7,4
70,NEWCASTLE_UPON_TYNE,B.1.1.7,33
70,NORFOLK,B.1.1.7,52
70,NORTHAMPTONSHIRE,B.1.1.7,90
70,NORTHUMBERLAND,B.1.1.7,16
70,NORTH_TYNESIDE,B.1.1.7,3
70,NORTH_YORKSHIRE,B.1.1.7,76
70,NOTTINGHAM,B.1.1.7,1
70,NOTTINGHAMSHIRE,B.1.1.7,79
70,OLDHAM,B.1.1.7,40
70,OXFORDSHIRE,B.1.1.7,41
70,PEMBROKESHIRE,B.1.1.7,8
70,REDCAR_AND_CLEVELAND,B.1.1.7,5
70,RENFREWSHIRE,B.1.1.7,17
70,ROCHDALE,B.1.1.7,8
70,SALFORD,B.1.1.7,28
70,SANDWELL,B.1.1.7,18
70,SEFTON,B.1.1.7,2
70,SHROPSHIRE,B.1.1.7,40
70,STAFFORDSHIRE,B.1.1.7,91
70,STOCKPORT,B.1.1.7,14
70,SUFFOLK,B.1.1.7,56
70,SURREY,B.1.1.7,16
70,SWINDON,B.1.1.7,1
70,TAMESIDE,B.1.1.7,30
70,WARWICKSHIRE,B.1.1.7,60
70,WILTSHIRE,B.1.1.7,10
70,WREXHAM,B.1.1.7,16
70,ABERDEEN,B.1.617.2,3
70,BEDFORDSHIRE,B.1.617.2,36
70,BELFAST,B.1.617.2,2
70,BIRMINGHAM,B.1.617.2,2
70,BOLTON,B.1.617.2,20
70,BRIDGEND,B.1.617.2,1
70,BRIGHTON_AND_HOVE,B.1.617.2,1
70,BUCKINGHAMSHIRE,B.1.617.2,7
70,CAMBRIDGESHIRE,B.1.617.2,2
70,CARDIFF,B.1.617.2,1
70,CONWY,B.1.617.2,1
70,COVENTRY,B.1.617.2,1
70,DERBYSHIRE,B.1.617.2,1
70,DEVON,B.1.617.2,2
70,DORSET,B.1.617.2,1
70,DUDLEY,B.1.617.2,1
70,DURHAM,B.1.617.2,4
70,EAST_DUNBARTONSHIRE,B.1.617.2,11
70,EAST_LOTHIAN,B.1.617.2,2
70,EAST_RENFREWSHIRE,B.1.617.2,2
70,EAST_RIDING_OF_YORKSHIRE,B.1.617.2,1
70,EDINBURGH,B.1.617.2,5
70,ESSEX,B.1.617.2,12
70,FIFE,B.1.617.2,7
70,GLASGOW,B.1.617.2,3
70,GREATER_LONDON,B.1.617.2,156
70,HAMPSHIRE,B.1.617.2,3
70,HERTFORDSHIRE,B.1.617.2,14
70,INVERCLYDE,B.1.617.2,3
70,ISLE_OF_WIGHT,B.1.617.2,1
70,KENT,B.1.617.2,16
70,KIRKLEES,B.1.617.2,1
70,LANCASHIRE,B.1.617.2,60
70,LEEDS,B.1.617.2,1
70,LEICESTERSHIRE,B.1.617.2,20
70,LINCOLNSHIRE,B.1.617.2,5
70,MANCHESTER,B.1.617.2,4
70,MILTON_KEYNES,B.1.617.2,1
70,NEWCASTLE_UPON_TYNE,B.1.617.2,2
70,NORFOLK,B.1.617.2,5
70,NORTHAMPTONSHIRE,B.1.617.2,12
70,NORTHUMBERLAND,B.1.617.2,1
70,NORTH_TYNESIDE,B.1.617.2,2
70,NORTH_YORKSHIRE,B.1.617.2,1
70,NOTTINGHAM,B.1.617.2,4
70,NOTTINGHAMSHIRE,B.1.617.2,20
70,OLDHAM,B.1.617.2,3
70,OXFORDSHIRE,B.1.617.2,3
70,PEMBROKESHIRE,B.1.617.2,1
70,REDCAR_AND_CLEVELAND,B.1.617.2,1
70,RENFREWSHIRE,B.1.617.2,1
70,ROCHDALE,B.1.617.2,1
70,SALFORD,B.1.617.2,1
70,SANDWELL,B.1.617.2,3
70,SEFTON,B.1.617.2,4
70,SHROPSHIRE,B.1.617.2,2
70,STAFFORDSHIRE,B.1.617.2,3
70,STOCKPORT,B.1.617.2,1
70,SUFFOLK,B.1.617.2,1
70,SURREY,B.1.617.2,2
70,SWINDON,B.1.617.2,7
70,TAMESIDE,B.1.617.2,1
70,WARWICKSHIRE,B.1.617.2,7
70,WILTSHIRE,B.1.617.2,5
70,WREXHAM,B.1.617.2,1
71,ABERDEEN,B.1.1.7,5
71,BEDFORDSHIRE,B.1.1.7,21
71,BIRMINGHAM,B.1.1.7,40
71,BOLTON,B.1.1.7,8
71,BRACKNELL_FOREST,B.1.1.7,2
71,BRADFORD,B.1.1.7,27
71,BUCKINGHAMSHIRE,B.1.1.7,26
71,BURY,B.1.1.7,1
71,CAMBRIDGESHIRE,B.1.1.7,41
71,CARDIFF,B.1.1.7,28
71,COVENTRY,B.1.1.7,7
71,DERBYSHIRE,B.1.1.7,207
71,DEVON,B.1.1.7,1
71,DORSET,B.1.1.7,2
71,DURHAM,B.1.1.7,11
71,EAST_SUSSEX,B.1.1.7,2
71,EDINBURGH,B.1.1.7,23
71,ESSEX,B.1.1.7,39
71,GLASGOW,B.1.1.7,64
71,GREATER_LONDON,B.1.1.7,195
71,HAMPSHIRE,B.1.1.7,32
71,HEREFORDSHIRE,B.1.1.7,13
71,HERTFORDSHIRE,B.1.1.7,46
71,KENT,B.1.1.7,58
71,KIRKLEES,B.1.1.7,6
71,LANCASHIRE,B.1.1.7,124
71,LEEDS,B.1.1.7,28
71,LEICESTERSHIRE,B.1.1.7,136
71,LINCOLNSHIRE,B.1.1.7,81
71,MANCHESTER,B.1.1.7,35
71,MIDDLESBROUGH,B.1.1.7,6
71,MILTON_KEYNES,B.1.1.7,6
71,NEATH_PORT_TALBOT,B.1.1.7,1
71,NORFOLK,B.1.1.7,63
71,NORTHAMPTONSHIRE,B.1.1.7,104
71,NORTH_LANARKSHIRE,B.1.1.7,26
71,NORTH_TYNESIDE,B.1.1.7,1
